Country,Year,Spending
France,2018,0.018460425714458936
France,2019,0.018528852069651314
France,2020,0.020216745528423227
France,2021,0.019802222580793456
France,2022,0.01958781267742106
France,2023,0.019481758891564126
France,2024,0.020115758077871092
France,2025,0.020266296920856373
Germany,1980,0.02947628419803119
Germany,1981,0.03027785215425032
Germany,1982,0.03020236296785992
Germany,1983,0.030129485326696948
Germany,1984,0.02912666072996532
Germany,1985,0.028540935535133448
Germany,1986,0.027773996495377765
Germany,1987,0.02759453648275436
Germany,1988,0.02628673340178114
Germany,1989,0.02520696580260114
Germany,1990,0.025067636118122166
Germany,1991,0.019738225034875358
Germany,1992,0.01836079729995405
Germany,1993,0.016772597330502976
Germany,1994,0.015366036133542
Germany,1995,0.014872724687462074
Germany,1996,0.014573717528316713
Germany,1997,0.01402707590519294
Germany,1998,0.01381656989091395
Germany,1999,0.013803477990625906
Germany,2000,0.013442158195397243
Germany,2001,0.013078982689864689
Germany,2002,0.01313440334269445
Germany,2003,0.012986963477858026
Germany,2004,0.012507280811721701
Germany,2005,0.012327558382168181
Germany,2006,0.011789865137788623
Germany,2007,0.011527923625807365
Germany,2008,0.011890537137737132
Germany,2009,0.012852535114696648
Germany,2010,0.012421901455304635
Germany,2011,0.011827246979333142
Germany,2012,0.012177379897687976
Germany,2013,0.011624622533560326
Germany,2014,0.011279639936069051
Germany,2015,0.011149197772616398
Germany,2016,0.011294431038961446
Germany,2017,0.01130582099000633
Germany,2018,0.011471718651263967
Germany,2019,0.012393070381762258
Germany,2020,0.013555576807159086
Germany,2021,0.01297748170999962
Germany,2022,0.013360197924996053
Germany,2023,0.015033264680717936
Germany,2024,0.018385782299253632
Germany,2025,0.02268510925145227
India,1980,0.03133781329725835
India,1981,0.03186248122183275
India,1982,0.033451176655513885
India,1983,0.03323068659707403
India,1984,0.03416875594363275
India,1985,0.035690302776082976
India,1986,0.04106468680662229
India,1987,0.04231317527010804
India,1988,0.037286717827626915
India,1989,0.03534179727672879
India,1990,0.03146214610299615
India,1991,0.029099743276426747
India,1992,0.02704839705614089
India,1993,0.02823542245687227
India,1994,0.026646737270860428
India,1995,0.025784835724606908
India,1996,0.02472768225467398
India,1997,0.026477324260171624
India,1998,0.02727311416793762
India,1999,0.02957195647434119
India,2000,0.02948929906225716
India,2001,0.029244355462895968
India,2002,0.028268668304583758
India,2003,0.0267777693222748
India,2004,0.02828752247981048
India,2005,0.029105875016448218
India,2006,0.02680381560227632
India,2007,0.024782465280355694
India,2008,0.026314607812411225
India,2009,0.03129384727374723
India,2010,0.028894632716464076
India,2011,0.02704482222769659
India,2012,0.026181663475856203
India,2013,0.025488248901417033
India,2014,0.02543981764622566
India,2015,0.02457450060601625
India,2016,0.025431515211454148
India,2017,0.025315113605679052
India,2018,0.024242845260441674
India,2019,0.02545998231435898
India,2020,0.02803615811126794
India,2021,0.024687415303418524
India,2022,0.023830980983588244
India,2023,0.02356794266782624
India,2024,0.022233765418523323
India,2025,0.022951791793515173
Indonesia,1980,0.029172176905625836
Indonesia,1981,0.02884622001403818
Indonesia,1982,0.02901928269711264
Indonesia,1983,0.023981294204037464
Indonesia,1984,0.022854202592201146
Indonesia,1985,0.021705993536979454
Indonesia,1986,0.020097653956295113
Indonesia,1987,0.017221876700614164
Indonesia,1988,0.015308410589377154
Indonesia,1989,0.013891363413656408
Indonesia,1990,0.014104929196741058
Indonesia,1991,0.013240641839588108
Indonesia,1992,0.013568760070114556
Indonesia,1993,0.012235578089369753
Indonesia,1994,0.012661556171838208
Indonesia,1995,0.012263098606423564
Indonesia,1996,0.01264392528278079
Indonesia,1997,0.014977417376273509
Indonesia,1998,0.010191168438740513
Indonesia,1999,0.008108126540150765
Indonesia,2000,0.006844837635004353
Indonesia,2001,0.00572792652704213
Indonesia,2002,0.007001202088010407
Indonesia,2003,0.009092850367736521
Indonesia,2004,0.009457146217272184
Indonesia,2005,0.00750789394004931
Indonesia,2006,0.006587027776287102
Indonesia,2007,0.0071236193115127005
Indonesia,2008,0.00578945804493387
Indonesia,2009,0.005711338919964235
Indonesia,2010,0.00617587091951932
Indonesia,2011,0.006537767026068072
Indonesia,2012,0.007115494734063825
Indonesia,2013,0.009187698391830661
Indonesia,2014,0.007778551782328311
Indonesia,2015,0.008822667344812393
Indonesia,2016,0.007922202134968524
Indonesia,2017,0.008651913762219923
Indonesia,2018,0.007189281904763445
